Estado,Causa,Genero,year,Casos
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,No especificado,2017,0
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Hombres,2018,141
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2018,54
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,No especificado,2018,0
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Hombres,2019,146
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2019,33
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,No especificado,2019,0
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Hombres,2020,293
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,Mujeres,2020,77
Ciudad de México,Ahorcamiento estrangulamiento o sofocación ,No especificado,2020,0
Ciudad de México,Disparo de arma de fuego,Hombres,2015,38
Ciudad de México,Disparo de arma de fuego,Mujeres,2015,4
Ciudad de México,Disparo de arma de fuego,No especificado,2015,0
Ciudad de México,Disparo de arma de fuego,Hombres,2016,36
Ciudad de México,Disparo de arma de fuego,Mujeres,2016,2
Ciudad de México,Disparo de arma de fuego,No especificado,2016,0
Ciudad de México,Disparo de arma de fuego,Hombres,2017,20
Ciudad de México,Disparo de arma de fuego,Mujeres,2017,6
Ciudad de México,Disparo de arma de fuego,No especificado,2017,0
Ciudad de México,Disparo de arma de fuego,Hombres,2018,12
Ciudad de México,Disparo de arma de fuego,Mujeres,2018,2
Ciudad de México,Disparo de arma de fuego,No especificado,2018,0
Ciudad de México,Disparo de arma de fuego,Hombres,2019,23
Ciudad de México,Disparo de arma de fuego,Mujeres,2019,2
Ciudad de México,Disparo de arma de fuego,No especificado,2019,0
Ciudad de México,Disparo de arma de fuego,Hombres,2020,36
Ciudad de México,Disparo de arma de fuego,Mujeres,2020,2
Ciudad de México,Disparo de arma de fuego,No especificado,2020,0
Ciudad de México,Envenenamiento,Hombres,2015,2
Ciudad de México,Envenenamiento,Mujeres,2015,1
Ciudad de México,Envenenamiento,No especificado,2015,0
Ciudad de México,Envenenamiento,Hombres,2016,3
Ciudad de México,Envenenamiento,Mujeres,2016,3
Ciudad de México,Envenenamiento,No especificado,2016,0
Ciudad de México,Envenenamiento,Hombres,2017,3
